DIA DE LA SEMANA ,VENTA DECLARADA,(PROMEDIO),,
LUNES," $356,438.00 "," $187,195.67 ",,
MARTES," $244,837.00 "," $187,195.67 ",,
MIERCOLES," $135,767.00 "," $187,195.67 ",,
JUEVES," $46,742.00 "," $187,195.67 ",,
VIERNES," $282,410.00 "," $187,195.67 ",,
SABADO," $56,980.00 "," $187,195.67 ",,
,,,,
 PROMEDIO GENERAL ," $187,195.67 ",,,
 VENTA MAXIMA ," $356,438.00 ",,,
 VENTA MINIMA ," $46,742.00 ",,,
"""NOTA LAS CANTIDADES QUE SE MUESTRAN EN LA GRAFICA PERTENECEN A LO QUE SE DECLARO"".",,,,
,,,,
