FECHA,FOLIO N#,SALIDA,ENTRADA,APA A NV ITA,FECHA,FOLIO,DESCRIPCION DEL PRODUCTO ,,,,CANTIDAD,
,,,,,,,,,,,,
03/01/2026,0787,,,,03/02/2026,0787,ENTREPELEA 25KG,,,,10,
06/01/2026,0788,S:4725,E:2665,,VIANEY ,,PELEA REPRODUCTINA 25 KG,,,,4,
07/01/2026,0789,S:4728,E:2666,,,,CASTA BRAVA 20KG,,,,10,
07/01/2026,0790,S:4729,E:2667,,,,PINGO CARNE Y ARROZ,,,,1,
09/01/2026,0792,S:4736,E:2671,,,,PET MASTER CACHORRO ,,,,1,
10/01/2026,0793,S:4738,E:2673,,06/02/2026,0788,POTRINA,,,,3,
15/01/2026,0794,,,,CECILIA V.,,PRO-FLOCK 25KG,,,,4,
19/01/2025,0795,S:4746,E:2677,,,,PRO-STAR 25KG,,,,4,
19/01/2026,0796,S:4747,E:222,SAN SIMON ,,,BECERRINA,,,,2,
22/01/2026,0797,S:4752,E:2678,,,,CRECENTINA,,,,1,
22/01/2026,0798,S:4753,E:2680,,,,GATIMAR,,,,3,
27/01/2026,0799,S:4758,E:2681,,,,REY DE OROS,,,,10,
27/01/2026,0800,S:4759,E:2682,,,,FEEDLOT,,,,4,
28/01/2026,0152,S:4761,E:3836,,,,SUBTITUTO DE LECHE ,,,,2,
28/01/2026,00151,S:4762,E:2685,,07/02/2026,0789,NOVA MIX 25KG,,,,10,
29/01/2026,0153,S:4764,E:3686,,CECILIA V.,,GRANOS SELECTOS 20KG,,,,10,
31/01/2026,0154,S:4768,E:2687,,,,CRIA VAQUINA,,,,4,
,,,,,,,LAMB TECH,,,,5,
,,,,,,,GRANOS SELECTOS 5KG,,,,25,
,,,,,,,CASTA BRAVA 5KG,,,,20,
,,,,,,,STARTINA 1 5KG,,,,10,
,,,,,,,STARTINA 2 5KG,,,,10,
,,,,,,,ENTREPELA 5KG,,,,10,
,,,,,,,BLACK MAMBA 5KG,,,,10,
,,,,,07/02/2026,0790,JAULA 60X60 (CERRADA),,,,4,
,,,,,CECILIA V.,,,,,,,
,,,,,09/02/2026,0792,FEEDLOT,,,,4,
,,,,,CECILIA V.,,ENTREPELEA 25KG,,,,15,
,,,,,,,CASTA BRAVA 20KG,,,,10,
,,,,,,,STARTINA 1 25KG,,,,5,
,,,,,,,ENGORDA LEON,,,,2,
,,,,,,,CRECENTINA,,,,2,
,,,,,,,GRANOS SELECTOS 5KG,,,,15,
,,,,,,,VITANEGRA 100ML,,,,2,$220 c/u
,,,,,,,RETADORL 25KG,,,,5,$270 c/u
,,,,,10/02/2026,0793,MINERAL TECH VACA-BECERRO,,,,5,
,,,,,CECILIA V.,,,,,,,
,,,,,15/01/2026,0794,PELEA REPRODUCTINA 5 KG,,,,10,
,,,,,CECILIA V.,,BLACK MAMBA 5KG,,,,5,
,,,,,,,PET MASTER CACHORRO ,,,,1,
,,,,,,,PET MASTER ADULTO,,,,1,
,,,,,,,CAJAS DE TRASPORTE,,,,60,
,,,,,,,CAJAS DE DESCANSO,,,,20,
,,,,,,,SCRATCH N°7 20KG,,,,6,
,,,,,,,ABSORBINE 473ML,,,,1,300 c/u
,,,,,,,EMICINA 100ML,,,,1,225 c/u
,,,,,,,VITAMINAS 5500 30ML,,,,2,550 c/u
,,,,,,,BEBEDEROS 2LTS,,,,10,$55 c/u
,,,,,19/01/2025,0795,PELEA REPRODUCTINA 25KG,,,,10,
,,,,,CECILIA V.,,REY DE OROS,,,,20,
,,,,,19/01/2026,0796,GARRAFAS DE SUPLEMENTO (AJO) PARA TILAPIA,,,,2,
,,,,,CECILIA V.,,,,,,,
,,,,,22/01/2026,0797,LAYINA,,,,10,
,,,,,CECILIA V.,,ENGORDINA,,,,4,
,,,,,,,CRECENTINA,,,,2,
,,,,,,,KEY CAN,,,,2,
,,,,,,,CODOR REPRODUCTINA,,,,1,
,,,,,,,DESARROLLO HI-O,,,,2,
,,,,,,,LENTES PARA GALLINA,,,,20,$10 c/u
,,,,,,,TOPADORES DE PIEL JUEGO(4),,,,2,$140 c/u
,,,,,,,CAJAS DE TRASPORTE,,,,30,
,,,,,,,CAJAS DE DESCANSDO,,,,30,
,,,,,,,TOPADORES DE GOMA /4,,,,2,$208 c/u
,,,,,,,BOTADORES ECONOMICOS,,,,2,$90 c/u
,,,,,,,LT DE BAYCOX,,,,1,
,,,,,22/01/2026,0798,FEEDLOT,,,,10,
,,,,,CECILIA V.,,,,,,,
,,,,,27/01/2026,0799,PRODUCCION MAXIMA,,,,4,
,,,,,CECILIA V.,,STARTINA 1 25KG,,,,7,
,,,,,,,FORJA BRAVA 25KG,,,,2,
,,,,,,,TEMPLE,,,,5,
,,,,,,,STARTINA 1 5KG,,,,6,
,,,,,,,MINERAL TECH BORREGA-ENGORDA,,,,2,
,,,,,,,ACTUOL 4%,,,,5,
,,,,,,,S. VITAMINAS 5500 5ML,,,,3,
,,,,,,,VITANHEGRA 50ML,,,,2,
,,,,,,,WORMEX 50TAB,,,,2,
,,,,,,,HILOS CHICOS,,,,5,
,,,,,,,VITAFORT-A 500GR,,,,16,
,,,,,,,CAJAS DE DESCANSO ,,,,20,
,,,,,27/01/2026,0800,BEBEDEROS LGNITION 5LTS,,,,6,$185 c/u 
,,,,,CECILIA V.,,,,,,,
,,,,,28/01/2026,0152,COXSAN 1 LT,,,,36,
,,,,,CECILIA V.,,CALFON 100ML,,,,1,$380 c/u
,,,,,28/01/2026,00151,VITAFORT-A 500GR,,,,18,
,,,,,CECILIA V.,,,,,,,
,,,,,29/01/2026,0153,FORJA BRAVA 25KG,,,,10,
,,,,,CECILIA V.,,CRIA OVINA 16,,,,1,
,,,,,,,PET MASTER CACHORRO ,,,,2,
,,,,,,,PET MASTER ADULTO,,,,2,
,,,,,31/01/2026,0154,OMOLENE 300,,,,5,
,,,,,CECILIA V.,,FORJA BRAVA 25KG,,,,5,
,,,,,,,CASTA BRAVA 5KG,,,,10,
