FECHA,FOLIO N#,SALIDA,ENTRADA,APA A NV ITA,FECHA,FOLIO,DESCRIPCION DEL PRODUCTO ,,,,CANTIDAD,
,,,,,,,,,,,,
04/02/2026,0155,S:4770,E:2692,,04/02/2026,0155,BOVITRAZ 100ML,,,,1,$120 c/u
06/02/2026,0156,S:4773,E:2693,,CECILIA V.,,ASCORBOL 50TAB,,,,1,$230 c/u
09/02/2026,0157,S:4776,E:2695,,,,WORMEX 50TAB,,,,2,$160 c/u
12/02/2026,0159,S:4780,E:2697,,,,FILLER (CANASTA P. HUEVO),,,,1,$50 c/u
16/02/2026,0160,,,,,,CONEJINA 25KG,,,,2,
17/02/2026,0161,S:4784,E:2703,,,,KEY CAN 25KG,,,,2,
19/02/2026,0162,S:4785,E:2706,,06/02/2026,0156,CATOSAL 50ML,,,,2,$429 c/u
20/02/2026,0163,S:4788,E:2707,,CECILIA V.,,VITAFORT POSTURA 500GR,,,,3,$138 c/u
24/02/2026,0164,S:4790,E:2708,,,,MINEROL 500ML,,,,1,$280 c/u
25/02/2026,0165,S:4792,E:2709,,,,MINEROL 1LT,,,,1,$430c/u
25/02/2026,0166,S:4793,E:2710,,,,TILAMOX SOBRE 20GR,,,,5,$90 c/u
26/02/2026,0167,S: 4794,E:2711,,,,KORYN TRIPLE 100GR,,,,3,$185 c/u
,,,,,,,JAULA 60X60 CERRADA,,,,5,$260 c/u
,,,,,,,JAULA 1.5X1,,,,2,$700 c/u
,,,,,,,PAVICRECINA,,,,2,
,,,,,,,NEW CASTLE 100DS,,,,1,$98 c/u
,,,,,,,PELEA REPRODUCTINA 5KG,,,,5,
,,,,,,,TEMPLE ,,,,5,
,,,,,09/02/2026,0157,CRIA OVINA 16,,,,1,
,,,,,CECILIA V.,,BECERRINA,,,,1,
,,,,,,,STARTINA #2 25KG,,,,4,
,,,,,,,POTRINA,,,,4,
,,,,,,,TAPE AMERICANO ,,,,8,$180 c/u
,,,,,,,TILAMOX  20GR,,,,3,$90 c/u
,,,,,,,MEGA CALCIO 25KG,,,,1,$160 c/u
,,,,,,,K-OBIOL 1LT,,,,1,
,,,,,12/02/2026,0159,OVINA ENGORDA,,,,1,
,,,,,CECILIA V.,,MINEROL 1LT,,,,1,$430c/u
,,,,,,,MINEROL 500ML,,,,1,$280 c/u
,,,,,16/02/2026,0160,BIONOVA 3,,,,15,
,,,,,ROSY ,,PRODUCCION MAXIMA ,,,,8,
,,,,,,,VIROTON ,,,,2,
,,,,,17/02/2026,0161,PRO START,,,,8,
,,,,,ROSY ,,BIONOVA 1,,,,2,
,,,,,,,CAJAS DE TRASPORTE,,,,10,
,,,,,19/02/2026,0162,OVINA ENGORDA,,,,4,
,,,,,ROSY ,,,,,,,
,,,,,20/02/2026,0163,FORJA BRAVA 25KG,,,,12,
,,,,,ROSY ,,FEEDLOT 25KG,,,,10,
,,,,,,,VITAFORT A 500GR,,,,8,
,,,,,,,NEW CASTLE 25DS,,,,2,
,,,,,24/02/2026,0164,FEEDLOT 25KG,,,,25,
,,,,,ROSY ,,,,,,,
,,,,,25/02/2026,0165,FORJA BRAVA 5KG,,,,7,
,,,,,ROSY ,,SUPER FLUMI 2 MILLONES,,,,1,
,,,,,,,WORMEX 50TAB,,,,1,
,,,,,,,WORMEX 100TAB,,,,2,
,,,,,,,VITANHEGRA 50ML,,,,2,
,,,,,,,EQUALAN GOLD,,,,1,
,,,,,25/02/2026,0166,PET MASTER CACHORRO ,,,,3,
,,,,,ROSY ,,,,,,,
,,,,,26/02/2026,0167,VIROTÓN ,,,,10,
,,,,,ROSY ,,SEGUETA,,,,10,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
