,,TOTAL INGRESOS,Suma de DECLARADO ,Suma de DIFERENCIA 
LUNES,,,,
,02/02/2026," $8,734.46 "," $5,119.00 ",-$0.46 
,09/02/2026," $23,584.00 "," $22,900.00 ", $516.00 
,16/02/2026," $56,120.28 "," $55,670.00 ",-$0.28 
,23/02/2026," $6,494.00 "," $6,194.00 ", $-   
 ,," $94,932.74 "," $89,883.00 ", $515.26 
MARTES,,,,
,03/02/2026," $7,661.00 "," $3,771.00 ", $-   
,10/02/2026," $22,059.00 "," $21,559.00 ", $-   
,17/02/2026," $46,794.00 "," $44,494.00 ", $-   
,24/02/2026," $204,462.75 "," $204,162.00 ",-$0.75 
 ,," $280,976.75 "," $273,986.00 ",-$0.75 
MIERCOLES,,,,
,04/02/2026," $159,052.00 "," $158,652.00 ", $-   
,11/02/2026," $20,818.08 "," $20,618.00 ",-$0.08 
,18/02/2026," $89,960.00 "," $88,360.00 ",-$300.00 
,25/02/2026," $7,459.14 "," $3,658.00 ","-$1,001.14 "
 ,," $277,289.22 "," $271,288.00 ","-$1,301.22 "
JUEVES,,,,
,05/02/2026," $19,781.90 "," $19,511.00 ",-$0.90 
,12/02/2026," $144,793.00 "," $143,993.00 ", $-   
,19/02/2026," $7,541.00 "," $4,970.00 ",-$1.00 
,26/02/2026," $39,888.00 "," $39,188.00 ", $-   
 ,," $212,003.90 "," $207,662.00 ",-$1.90 
VIERNES,,,,
,06/02/2026," $65,279.00 "," $64,499.00 ", $-   
,13/02/2026," $32,520.00 "," $30,220.00 ", $-   
,20/02/2026," $106,870.00 "," $105,870.00 ", $-   
,27/02/2026," $11,793.00 "," $11,038.00 ",-$455.00 
 ,," $216,462.00 "," $211,627.00 ",-$455.00 
SABADO,,,,
,07/02/2026," $12,909.00 "," $4,109.00 ", $-   
,14/02/2026," $26,688.00 "," $16,100.00 ", $12.00 
,21/02/2026," $49,862.00 "," $41,061.00 ",-$1.00 
,28/02/2026," $31,688.00 "," $19,324.00 ","-$1,564.00 "
 ,," $121,147.00 "," $80,594.00 ","-$1,553.00 "
Total general,," $1,202,811.61 "," $1,135,040.00 ","-$2,796.61 "
