FECHA,FOLIO N#,SALIDA,ENTRADA,NV ITA A APA,FECHA,FOLIO,DESCRIPCION DEL PRODUCTO ,,,,CANTIDAD
,,,,,,,,,,,
02/01/2026,0088,S:1924,E:3794,,02/02/2026,0088,DESARROLLO 3.5,,,,80
02/01/2026,0089,S:1925,E:3795,,BRISEIDA D. ,,ENGORDA 5.5,,,,80
05/01/2026,0090,S:1927,E:3799,,02/02/2026,0089,DESARROLLO 3.5,,,,20
07/01/2026,0091,S:1928,E:3802,,BRISEIDA D. ,,ENGORDA 5.5,,,,10
07/01/2026,0092,S:1925,E:3803,,05/02/2026,0090,ENGORDA 5.5,,,,70
07/01/2026,0093,S:1930,E:3804,,BRISEIDA D. ,,,,,,
09/01/2026,0094,S:1932,E:3809,,07/02/2026,0091,ENGORDA 5.5,,,,70
13/01/2026,0095,S:1934,E:3812,,BRISEIDA D. ,,,,,,
15/01/2026,0096,S:1938,E:3816,,07/02/2026,0092,ENGORDA 5.5,,,,40
15/01/2026,0097,S:1939,E:3817,,BRISEIDA D. ,,,,,,
16/01/2026,0098,S:1940,E:3819,,07/02/2026,0093,ENGORDA 5.5,,,,10
20/01/2026,0099,S:1941,E:3823,,BRISEIDA D. ,,,,,,
22/01/2026,0100,S:1942,E:3827,,09/02/2026,0094,ENGORDA 5.5,,,,40
22/01/2026,0851,S:1944,E:3828,,BRISEIDA D. ,,DESARROLLO 3.5,,,,10
23/01/2026,0852,S:1945,E:3830,,13/02/2026,0095,ENGORDA 5.5,,,,60
23/01/2026,0853,S:1946,E:3831,,BRISEIDA D. ,,DESARROLLO 2.4,,,,10
27/01/2026,0854,S:1948,E:2682,,15/02/2026,0096,OMOLENE GROUNDBREAKER,,,,15
29/01/2026,0855,S:1950,E:3838,,BRISEIDA D. ,,FEED LOT 14,,,,20
29/01/2026,0856,S:1951,E:3839,,,,MINERAL FECH VACA-BECERRO,,,,10
31/01/2026,0857,S:1952,E:3840,,,,BIONOVA 1 MED,,,,10
31/01/2026,0858,S:1953,E:3841,,,,BIONOVA 2 MED,,,,15
,,,,,,,CONEJINA N.ATURE,,,,13
,,,,,,,OVINA ENGORDA,,,,5
,,,,,,,PRODUCCION MAXIMA,,,,7
,,,,,,,INICIARINA ED,,,,20
,,,,,,,ENGORDINA ED,,,,5
,,,,,,,KE BUENO FINALIZADOR CERDOS,,,,20
,,,,,,,KE BUENO AVES PORSTURA,,,,60
,,,,,,,BECERRINA,,,,10
,,,,,,,GRANOS SELECTOS 5KG,,,,30
,,,,,,,LAMB TECH,,,,7
,,,,,,,P. STARNINA 1 5KG,,,,15
,,,,,15/02/2026,0097,STARTINA 1 25KG,,,,20
,,,,,BRISEIDA D. ,,CODOR REPRODUCTINA 25KG,,,,9
,,,,,,,P. REPRODUCTINA 25KG,,,,40
,,,,,,,NUCLEOS,,,,15
,,,,,,,GATIMAR Y TIERRA,,,,8
,,,,,,,CASTA BRAVA 5KG,,,,200
,,,,,16/01/2026,0098,CRIA OVINA,,,,6
,,,,,BRISEIDA D. ,,BIONOVA 3 MED,,,,25
,,,,,,,PRO START,,,,15
,,,,,,,POTRINA,,,,25
,,,,,,,INICIADOR HI-O,,,,18
,,,,,,,ENGORDA LEAN,,,,18
,,,,,,,GESTACION HI-O,,,,19
,,,,,,,CRECIMIENTO HI-O,,,,30
,,,,,,,GRANOS SELECTOS 5KG,,,,5
,,,,,,,ENTREPELEA 25KG,,,,100
,,,,,,,ENGORDA 5.5,,,,120
,,,,,20/01/2026,0099,DESARROLLO 3.5,,,,20
,,,,,BRISEIDA D. ,,ENGORDA 5.5,,,,50
,,,,,22/01/2026,0100,ENGORDA 5.5,,,,50
,,,,,BRISEIDA D. ,,RETADOR,,,,3
,,,,,22/01/2026,0851,INICIARINA  ,,,,15
,,,,,BRISEIDA D. ,,PRO-STAR,,,,20
,,,,,,,PRO-FLOCK,,,,20
,,,,,23/01/2026,0852,DESARROLLO 3.5,,,,20
,,,,,BRISEIDA D. ,,ENGORDA 5.5,,,,30
,,,,,23/01/2026,0853,ENGORDA 5.5,,,,40
,,,,,BRISEIDA D. ,,PRO-WIN,,,,6
,,,,,,,BLACK MAMBA 25KG,,,,3
,,,,,,,ENTREPELEA 5KG,,,,30
,,,,,27/01/2026,0854,ENGORDA 5.5,,,,50
,,,,,BRISEIDA D. ,,DESARROLLO 3.5,,,,20
,,,,,,,P. REPRODUCTINA 25KG,,,,5
,,,,,29/01/2026,0855,ENGORDA 5.5,,,,50
,,,,,BRISEIDA D. ,,GRANOS SELECTOS 5KG,,,,5
,,,,,29/01/2026,0856,ENGORDA 5.5,,,,40
,,,,,BRISEIDA D. ,,DESARROLLO 3.5,,,,10
,,,,,31/01/2026,0857,CAJAS DE TRASPORTE,,,,150
,,,,,BRISEIDA D. ,,GRANOS SELECTOS 5KG,,,,100
,,,,,,,P.STARTINA 15KG,,,,40
,,,,,,,P.STARTINA 25KG,,,,40
,,,,,,,CASTA BRAVA 20KG,,,,100
,,,,,,,RETADOR,,,,60
,,,,,,,P. REPRODUCTINA 25KG,,,,40
,,,,,,,NOVA MIX 25KG,,,,60
,,,,,,,INICIADOR HI-O,,,,40
,,,,,,,PRODUCCION MAXIMA,,,,10
,,,,,,,INICIARINA ED,,,,40
,,,,,,,ENGORDINA ED,,,,1
,,,,,,,CRECENTINA,,,,10
,,,,,,,KE BUENO POLLITAS,,,,10
,,,,,,,KE BUENO POLLITOS,,,,10
,,,,,,,P.STARTINA 1 25KG,,,,20
,,,,,31/01/2026,0858,CLAF TECH 2.0,,,,5
,,,,,BRISEIDA D. ,,PAVICRECINA,,,,10
,,,,,,,OMOLIN TRADICIONAL,,,,60
,,,,,,,CRECIMIENTO HI-O,,,,40
,,,,,,,KE BUENO PORTURA,,,,20
