FECHA,FOLIO N#,SALIDA,ENTRADA,APA A NV ITA,FECHA,FOLIO,DESCRIPCION DEL PRODUCTO ,,,,CANTIDAD,
,,,,,,,,,,,,
04/02/2026,0859,S:1960,E:3846,,04/02/2026,0859,ENGORDA 5.5 ,,,,50,
04/02/2026,0860,S:1961,E:3847,,BRISEIDA D.,,,,,,,
06/02/2026,0861,S:1962,E:3850,,04/02/2026,0860,ENGORDA 5.5 ,,,,20,
10/02/2026,0862,S:1965,E:3855,,BRISEIDA D.,,DESARROLLO 3.5,,,,20,
14/02/2026,0863,S:1966,E:3862,,,,ENGORDA LEAN,,,,10,
16/02/2026,0864,S:1967,E:3863,,06/02/2026,0861,ENGORDA 5.5 ,,,,20,
16/02/2026,0865,S:1968,E:3864,,BRISEIDA D.,,DESARROLLO 3.5,,,,40,
16/02/2026,0866,S:1969,E:3865,,,,ENTREPELEA 25KG,,,,100,
17/02/2026,0867,S:1974,E:3868,,,,RETADOR,,,,15,
17/02/2026,0868,S:1975,E:3869,,,,FEEL LOT 14,,,,20,
18/02/2026,0869,S:1978,E:3870,,,,ENGORDA LEAN HI-O,,,,20,
19/02/2026,0870,S:1981,E:3871,,,,BECERRINA,,,,2,
20/02/2026,0871,S:1985,E:3874,,10/02/2026,0862,ENGORDA 5.5 ,,,,80,
24/02/2026,0872,S:1987,E:3877,,BRISEIDA D.,,,,,,,
25/02/2026,0873,S:1988,E:3879,,14/02/2026,0863,ENGORDA ,,,,40,
26/02/2026,0874,S:1990,E:3880,,JULIO,,,,,,,
27/02/2026,0875,,,,16/02/2026,0864,ENGORDA LEAN ,,,,40,
,,,,,JULIO,,CRECIMIENTO HI-O,,,,19,
,,,,,,,INICIARINA,,,,30,
,,,,,,,PRO FLOCK,,,,20,
,,,,,,,INICIADOR HI-O,,,,20,
,,,,,,,BIONOVA 3,,,,50,
,,,,,,,GESTACION,,,,20,
,,,,,,,LACTANCIA,,,,10,
,,,,,,,KE BUENO AVES POSTURA,,,,40,
,,,,,,,STARTINA 2 25KG,,,,10,
,,,,,,,ENTREPELEA 25KG,,,,120,
,,,,,,,KE BUENO ENGORDA,,,,10,
,,,,,16/02/2026,0865,CRIA OVINA 16,,,,5,
,,,,,BRISEIDA D.,,OVINA ENGORDA ,,,,5,
,,,,,,,PAVICRECINA,,,,5,
,,,,,,,CODOR REPRODUCTINA ,,,,5,
,,,,,,,GESTACION HI-O,,,,5,
,,,,,,,CRECIMIENTO HI-O ,,,,21,
,,,,,,,KE BUENO POLLITAS,,,,10,
,,,,,,,BIONOVA 2,,,,10,
,,,,,,,CASTA BRAVA 5KG,,,,200,
,,,,,,,BECERRINA,,,,10,
,,,,,,,KEY CAN,,,,15,
,,,,,,,P. REPRODUCTINA 5KG,,,,15,
,,,,,,,OMOLIN TRADICIONAL ,,,,80,
,,,,,,,PRO START ,,,,30,
,,,,,,,OMOLENE 350,,,,30,
,,,,,,,NUCLEOS,,,,10,
,,,,,16/02/2026,0866,PET MASTER CACHORRO,,,,10,
,,,,,BRISEIDA D.,,TEMPLE,,,,50,
,,,,,,,LAMB TECH,,,,7,
,,,,,,,GATI MAR ,,,,10,
,,,,,,,ENGORDA 5.5 ,,,,66,
,,,,,17/02/2026,0867,CRECENTINA,,,,10,
,,,,,BRISEIDA D.,,LAYINA,,,,10,
,,,,,,,ENGORDA 5.5 ,,,,40,
,,,,,,,STARTINA 1 5KG,,,,10,
,,,,,17/02/2026,0868,ENGORDA 5.5 ,,,,200,
,,,,,BRISEIDA D.,,,,,,,ENTREGADO A DON RAFAEL 
,,,,,18/02/2026,0869,ENGORDA 5.5 ,,,,70,
,,,,,BRISEIDA D.,,,,,,,
,,,,,19/02/2026,0870,ENGORDA 5.5 ,,,,70,
,,,,,BRISEIDA D.,,,,,,,
,,,,,20/02/2026,0871,ENGORDA 5.5 ,,,,40,
,,,,,BRISEIDA D.,,GRANOS SELECTOS 20KG,,,,10,
,,,,,,,CRECENTINA ,,,,10,
,,,,,,,BLACK MAMBA 5KG,,,,10,
,,,,,24/02/2026,0872,ENGORDA 5.5 ,,,,50,
,,,,,BRISEIDA D.,,DESARROLLO 3.5,,,,15,
,,,,,,,CAVALLETI,,,,5,
,,,,,,,ENGORDINA,,,,3,
,,,,,25/02/2026,0873,ENGORDA 5.5 ,,,,70,
,,,,,BRISEIDA D.,,,,,,,
,,,,,26/02/2026,0874,LAYINA,,,,15,
,,,,,BRISEIDA D.,,KE BUENO POSTURA,,,,15,
,,,,,,,CRECENTINA,,,,5,
,,,,,,,NOVA MIX 25KG,,,,20,
,,,,,,,CAVALLETI,,,,10,
,,,,,,,MINERAL TECH BORREGO,,,,11,
,,,,,27/02/2026,0875,POTRINA,,,,10,
,,,,,JULIO,,PRO-FLOCK,,,,10,
,,,,,,,LAMB TECH,,,,5,
,,,,,,,OMOLIN TRADICIONAL,,,,20,
,,,,,,,GATIMAR,,,,5,
,,,,,,,ENGORDA 5.5 ,,,,22,
